analysis_id,outcome,measure,scenario,k,estimate,ci_low,ci_high,p_value,tau2,i2,pi_low,pi_high
8.1,Infusion reaction at 18 months,RR,Cochrane class pool,3,3.580414000675479,0.06906491805724485,185.61325745159925,0.29902753661688963,2.3632727803498077,97.19728094012108,0.0016161568283810147,7932.005230627767
8.1,Infusion reaction at 18 months,RR,Exclude futility-terminated trials,2,7.662918735750597,1.5087116733693504,38.92083861164777,0.014051223195922948,1.2466103679702276,89.95729838569783,NA,NA
8.1,Infusion reaction at 18 months,RR,Exclude all early-terminated trials,2,7.662918735750597,1.5087116733693504,38.92083861164777,0.014051223195922948,1.2466103679702276,89.95729838569783,NA,NA
8.2,Infusion reaction at 24 months,RR,Cochrane class pool,1,1.1491789422844725,0.7737788248778547,1.7067050673020485,0.49079563226526185,0,NA,NA,NA
9.1,Study discontinuation at 18 months,RR,Cochrane class pool,11,1.1206943650781804,1.0205690857766552,1.230642665373507,0.021825522338634565,0.009762441228302526,49.554731620791884,0.8822588533155346,1.4235684404844402
9.1,Study discontinuation at 18 months,RR,Exclude futility-terminated trials,8,1.0948650431718263,0.975234787266681,1.2291701223244496,0.10643118762641507,0.010846132872126218,57.71107193589428,0.8340510111724176,1.437237587032719
9.1,Study discontinuation at 18 months,RR,Exclude all early-terminated trials,6,1.1237359517579781,0.9563543981977306,1.320412696018493,0.12207782018852507,0.013910329126271971,58.930562054410665,0.7971184671132633,1.5841842102172485
9.2,Study discontinuation at 24 months,RR,Cochrane class pool,2,1.0087417778211831,0.9411188324553127,1.081223687413734,0.8058020547192903,0,0,NA,NA
9.3,Study discontinuation above 24 months,RR,Cochrane class pool,2,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940422773,0.005604882658618314,26.853249664784688,NA,NA
9.3,Study discontinuation above 24 months,RR,Exclude futility-terminated trials,2,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940422773,0.005604882658618314,26.853249664784688,NA,NA
9.3,Study discontinuation above 24 months,RR,Exclude all early-terminated trials,2,1.3550026889949676,1.109422105329669,1.654944748588734,0.0029037060940422773,0.005604882658618314,26.853249664784688,NA,NA
