analysis_id,outcome,measure,scenario,ci_method,p_method,k,estimate,ci_low,ci_high,p_value,tau2,i2,cochrane_estimate,cochrane_ci_low,cochrane_ci_high,cochrane_p_value,cochrane_ci_method,abs_estimate_difference,abs_ci_low_difference,abs_ci_high_difference,abs_p_value_difference
4.3,Any ARIA E at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,7.494102135327068,2.9814471361614756,18.837015801333326,1.844602398016939e-5,0.11447665063724294,11.83959632683999,7.494102694956077,2.9814482006564837,18.83701188911541,1.844590199713e-5,Wald,5.59629009799778e-7,1.0644950081406535e-6,3.912217916735017e-6,1.2198303939213798e-10
4.4,Any ARIA E above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,9.349943398952874,4.51505569501341,19.362206685550703,1.7594883233552905e-9,0.18601437356944012,66.3692954998454,9.349943398952874,4.515055695013407,19.36220668555071,1.759488323346005e-9,Wald,0,2.6645352591003757e-15,7.105427357601002e-15,9.285515966214012e-21
4.5,Symptomatic ARIA E at 18 months,RR,Cochrane class pool,HKSJ,Wald/z,2,52.4903527709673,40.126898557731224,68.6630971505707,1.5168276846694145e-6,0,0,52.49035277096728,40.12689855736595,68.66309715119556,1.51682768461e-6,HKSJ,2.1316282072803006e-14,3.652758095995523e-10,6.248512818274321e-10,5.941449081044246e-17
4.6,Symptomatic ARIA E above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,15.546661816944196,4.331361582881384,55.80201260630923,2.5749219266435758e-5,0,0,15.546661816944203,4.331361582881387,55.80201260630928,2.574921926635e-5,Wald,7.105427357601002e-15,2.6645352591003757e-15,4.973799150320701e-14,8.575700371181438e-17
4.7,Any ARIA H at 18 months,RR,Cochrane class pool,Wald,Wald/z,3,1.647567809136657,0.958606576737202,2.831693159192176,0.0707666377502418,0.19569237236659237,90.00231897534974,NA,NA,NA,NA,Wald,NA,NA,NA,NA
4.8,Any ARIA H at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.274817128129933,0.9569928828870752,1.698193099692277,0.09701298864820303,0,0,1.274817128129933,0.9569928828870752,1.6981930996922765,0.09701298864567191,Wald,0,0,4.440892098500626e-16,2.5311142071160475e-12
4.9,Any ARIA H above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,1.86453837103413,1.518623298927227,2.2892466746127553,2.674353802685868e-9,0,0,1.86453837103413,1.5186232989272272,2.289246674612755,2.674353802662286e-9,Wald,0,2.220446049250313e-16,4.440892098500626e-16,2.358167849296799e-20
5.1,SAE at 18 months,RR,Cochrane class pool,Wald,Wald/z,9,1.0411259198754734,0.9356458976766603,1.1584972303390986,0.45961568171111417,0.010222160034294199,39.37245648976633,1.0411259860249702,0.935646697550099,1.1584963871669378,0.459611654473599,Wald,6.614949676908566e-8,7.998734387060225e-7,8.431721607582432e-7,4.0272375151917394e-6
5.2,SAE at 24 months,RR,Cochrane class pool,Wald,Wald/z,4,1.0310011018008096,0.8481859609704622,1.2532196013929318,0.7591700165350601,0,0,1.0310011018008096,0.8481859609704623,1.2532196013929318,0.7591700169747231,Wald,0,1.1102230246251565e-16,0,4.3966297269548704e-10
5.3,SAE above 24 months,RR,Cochrane class pool,Wald,Wald/z,2,0.8237606397871372,0.6672245404164604,1.017021333236581,0.07138804072868461,0,0,0.8237606397871372,0.6672245404164605,1.017021333236581,0.07138804072988045,Wald,0,1.1102230246251565e-16,0,1.195835097611564e-12
